,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,A Moderate Defense of Hate Speech Regulations on University Campuses [article],"Wendel, W. Bradley (Cited 837 times)","Harvard Journal on Legislation, Vol. 41, Issue 2 (Summer 2004), pp. 407-420",1,na,17," Constitutional Law, Jurisprudence, Criminal Law and Procedure, Communications Law, Education, Sexuality and the Law"
0,The Ordinary Heroism of Lawyers: A Tribute to Roger C. Cramton [article],"Wendel, W. Bradley (Cited 837 times)","Cornell Law Review, Vol. 103, Issue 6 (September 2018), pp. 1345-1352",na,na,8," Corporations, Legal Education, Legal Profession, Professional Ethics"
0,What's Wrong with Being Creative and Aggressive [article],"Wendel, W. Bradley (Cited 837 times)","Cornell Law Forum, Vol. 32, Issue 3 (Spring 2006), pp. 2-7",na,na,2," Attorneys, Professional Ethics, Securities, Commitment, Public Relations, Accounting, Legal Profession"
0,Campaign Contributions and Risk-Avoidance Rules in Judicial Ethics [article],"Wendel, W. Bradley (Cited 837 times)","DePaul Law Review, Vol. 67, Issue 2 (Winter 2018), pp. 255-280",na,na,10," Ethics, Professional Ethics, Due Process, Fourteenth Amendment, Recusal"
0,Monroe Freedman: The Ethicist of the Non-Ideal [article],"Wendel, W. Bradley (Cited 837 times)","Hofstra Law Review, Vol. 45, The Life and Legacy of Monroe H. Freedman (2016), pp. 347-360",na,na,na," Plea Bargaining, Ethics, Legal Profession"
0,Virtue and Vice in Legal Advising [article],"Wendel, W. Bradley (Cited 837 times)","New England Journal on Criminal and Civil Confinement, Vol. 39, Issue 1 (Winter 2013), pp. 25-40",na,na,2, Torture
0,Autonomy Isn't Everything: Some Cautionary Notes on McCoy v. Louisiana [article],"Wendel, W. Bradley (Cited 837 times)","St. Mary's Journal on Legal Malpractice and Ethics, Vol. 9, Issue 1 (2018), pp. 92-137",na,na,5," Agency, Constitutional Law, Professional Ethics, Psychiatry and Psychology, Criminal Law and Procedure, Legal Profession"
0,Radicalism and Realism in Legal Ethics [reviews],"Wendel, W. Bradley (Cited 837 times)","Legal Ethics, Vol. 17, Issue 2 (September 2014), pp. 313-323",na,na,na," Ethics, Legal Ethics, Jurisprudence, Legal Education, Legal Profession"
0,"The Limits of Positivist Legal Ethics: A Brief History, a Critique, and a Return to Foundations [article]","Wendel, W. Bradley (Cited 837 times)","Canadian Journal of Law and Jurisprudence, Vol. 30, Issue 2 (August 2017), pp. 443-466",na,na,33," Ethics, History, Legal Ethics, Jurisprudence, Legal Education, Legal Profession"
0,Pushing the Boundaries of Informed Consent: Ethics in the Representation of Legally Sophisticated Clients [article],"Wendel, W. Bradley (Cited 837 times)","University of Toledo Law Review, Vol. 47, Issue 1 (Fall 2015), pp. 39-62",na,na,18," Boundaries, Consent, Ethics, Informed Consent, Economics, Interest"
0,Symposium Introduction: Our Love-Hate Relationship with Heroic Lawyers [comments],"Wendel, W. Bradley (Cited 837 times)","Widener Law Journal, Vol. 13, Issue 1 (2003), pp. 1-10",na,na,4," Legal Profession, Professional Ethics, Criminal Law and Procedure"
0,Are There Ethical Pitfalls in the Use of Third-Party Litigation Financing [article],"Wendel, W. Bradley (Cited 837 times)","Advocate, Vol. 80, pp. 51-55",na,na,4," Comparative Law, Banking, Consumer Protection Law, Legal Profession, Economics, Practice and Procedure"
0,Paying the Piper but Not Calling the Tune: Litigation Financing and Professional Independence [article],"Wendel, W. Bradley (Cited 837 times)","Akron Law Review, Vol. 52, Issue 1 (2018), pp. 1-48",na,na,13," Banking, Consumer Protection Law, Legal Profession, Comparative Law, Economics, Practice and Procedure"
0,"Lawyering with Heart: A Warrior Ethos for Modern Lawyers Reviewing Allan C. Hutchinson, Fighting Fair: Legal Ethics for an Adversarial Age [reviews]","Wendel, W. Bradley (Cited 837 times)","Osgoode Hall Law Journal, Vol. 54, Issue 4 (2017), pp. 1371-1380",na,na,16," Age, Ethics, Legal Ethics, Punishment"
0,The Rule of Law and Legal-Process Reasons in Attorney Advising [article],"Wendel, W. Bradley (Cited 837 times)","Boston University Law Review, Vol. 99, Issue 1 (January 2019), pp. 107-176",na,na,na," Professional Ethics, Jurisprudence"
0,"Defending Defending, with Integrity [reviews]","Wendel, W. Bradley (Cited 837 times)","Jotwell: The Journal of Things We Like (Lots), Vol. 2014, pp. [399]-[402]",na,na,na," Legal Profession, Professional Ethics, International Law, Practice and Procedure"
0,Not Business as Usual for In-House Counsel [reviews],"Wendel, W. Bradley (Cited 837 times)","Jotwell: The Journal of Things We Like (Lots), Vol. 2015, pp. [359]-[361]",na,na,na," Criminal Law and Procedure, Professional Ethics, Business Organizations, Securities, Administration Law"
0,Is the Crisis in the Profession Good for Consumers [reviews],"Wendel, W. Bradley (Cited 837 times)","Jotwell: The Journal of Things We Like (Lots), Vol. 2016, pp. [122]-[124]",na,na,na," Legal Profession, Trade Regulation"
0,Legal Ethics after Liberalism [reviews],"Wendel, W. Bradley (Cited 837 times)","Jotwell: The Journal of Things We Like (Lots), Vol. 2017, pp. [177]-[180]",na,na,na," Ethics, Legal Ethics, Age"
0,Making Sense of the Fee-Splitting Rule [reviews],"Wendel, W. Bradley (Cited 837 times)","Jotwell: The Journal of Things We Like (Lots), Vol. 2018, pp. 1-3",na,na,2," Fees, Practice and Procedure, Legal Profession, Professional Ethics, Unauthorized Practice of Law"
0,"Rule of Professional Conduct, Speech Code, Or Both [reviews]","Wendel, W. Bradley (Cited 837 times)","Jotwell: The Journal of Things We Like (Lots), Vol. 2019, pp. 1-3",na,na,na," Employment Practice, First Amendment, Legal Profession, Professional Ethics, Civil Rights"
