,First Name,Last Name,Title,School,School URL,School URL short
303,Ariel,Stevenson,NA,San Diego,https://www.sandiego.edu/,sandiego
304,James,Binnall,NA,Savannah,https://www.savannahstate.edu/,savannahstate
305,Vinay,Harpalani,NA,Savannah,https://www.savannahstate.edu/,savannahstate
306,Katherine,Moore,NA,Seton Hall,https://www.shu.edu/,shu
307,Wendy,Salkin,NA,SF State,https://www.sfsu.edu/,sfsu
308,Hillel,Bavli,NA,SMU,https://www.smu.edu/,smu
309,Natalie,Nanasi,NA,SMU,https://www.smu.edu/,smu
310,Jesse,Cross,NA,South Carolina,https://www.sc.edu/,sc
311,Clint,Wallace,NA,South Carolina,https://www.sc.edu/,sc
312,Annie,Eisenberg,NA,South Carolina,https://www.sc.edu/,sc
313,Sheldon,Welton,NA,South Carolina,https://www.sc.edu/,sc
314,Bryant Walker,Smith,NA,South Carolina,https://www.sc.edu/,sc
315,Kevin,Haeberle,NA,South Carolina,https://www.sc.edu/,sc
316,Marie,Boyd,NA,South Carolina,https://www.sc.edu/,sc
317,Nathan,Richardson,NA,South Carolina,https://www.sc.edu/,sc
318,Seth,Stoughton,NA,South Carolina,https://www.sc.edu/,sc
319,Tessa,Davis,NA,South Carolina,https://www.sc.edu/,sc
320,Hannah,Haksgaard,NA,South Dakota,https://www.usd.edu/,usd
321,Rachel,VanLandingham,NA,Southwestern,https://www.southwestern.edu/,southwestern
322,Sheldon,Evans,NA,St. John's,https://www.stjohns.edu/,stjohns
323,Kate,Klonick,NA,St. John's,https://www.stjohns.edu/,stjohns
324,Lauren,Roth,NA,St. John's,https://www.stjohns.edu/,stjohns
325,Kate,Levine,NA,St. John's,https://www.stjohns.edu/,stjohns
326,Ana Santos,Rutschman,NA,St. Louis,https://www.slu.edu/,slu
327,Rachel,Moran,NA,St. Thomas (Minnesota),https://www.stthomas.edu/,stthomas
328,Colleen,Honigsberg,NA,Stanford,https://www.stanford.edu/,stanford
329,Gregory,Ablavsky,NA,Stanford,https://www.stanford.edu/,stanford
330,Rabia,Belt,NA,Stanford,https://www.stanford.edu/,stanford
331,Jacob,Goldin,NA,Stanford,https://www.stanford.edu/,stanford
332,Lisa Larrimore,Ouellette,NA,Stanford,https://www.stanford.edu/,stanford
333,Christina,Miller,NA,Suffolk,https://www.suffolk.edu/,suffolk
334,Rene,Reyes,NA,Suffolk,https://www.suffolk.edu/,suffolk
335,Erin,Braatz,NA,Suffolk,https://www.suffolk.edu/,suffolk
336,Christine Pedigo,Bartholomew,NA,SUNY Buffalo,https://www.suny.edu/campuses/buffalo/,suny
337,Joshua,Andresen,NA,Surrey,https://www.surrey.ac.uk/,surrey
338,Stephen,Bero,NA,Surrey,https://www.surrey.ac.uk/,surrey
339,Stephen,Nyak-Young,NA,Surrey,https://www.surrey.ac.uk/,surrey
340,Ira,Lindsay,NA,Surrey,https://www.surrey.ac.uk/,surrey
341,Alexander,Sarch,NA,Surrey,https://www.surrey.ac.uk/,surrey
342,Chris,Taggart,NA,Surrey,https://www.surrey.ac.uk/,surrey
343,Pamela,Bookman,NA,Temple,https://www.temple.edu/,temple
344,Lauren,Ouziel,NA,Temple,https://www.temple.edu/,temple
345,Jonathan,Rohr,NA,Tennessee,https://www.utk.edu/,utk
346,Amber,Baylor,NA,Texas A&M,https://www.tamu.edu/,tamu
347,Guillermo,Garcia Sanchez,NA,Texas A&M,https://www.tamu.edu/,tamu
348,Brian,Larson,NA,Texas A&M,https://www.tamu.edu/,tamu
349,Jeff,Slattery,NA,Texas A&M,https://www.tamu.edu/,tamu
350,Vanessa,Casado Pérez,NA,Texas A&M,https://www.tamu.edu/,tamu
351,William,Magnuson,NA,Texas A&M,https://www.tamu.edu/,tamu
352,Saurabh,Vishnubhakat,NA,Texas A&M,https://www.tamu.edu/,tamu
353,Tracy,Pearl,NA,Texas Tech,https://www.ttu.edu/,ttu
354,Kristen,van de Biezenbos,NA,Texas Tech,https://www.ttu.edu/,ttu
355,Agnieszka,McPeak,NA,Toldeo,https://www.utoledo.edu/,utoledo
356,Anna,Su,NA,Toronto,https://www.utoronto.ca/,utoronto
357,Emily,Satterthwaite,NA,Toronto,https://www.utoronto.ca/,utoronto
358,Ann,Lipton,NA,Tulane,https://tulane.edu/,tulane
359,Warigia,Bowman,NA,Tulsa,https://utulsa.edu/,utulsa
360,Ido,Kilovaty,NA,Tulsa,https://utulsa.edu/,utulsa
361,Irene,Joe,NA,UC Davis,https://www.ucdavis.edu/,ucdavis
362,Aaron,Tang,NA,UC Davis,https://www.ucdavis.edu/,ucdavis
363,Jasmine,Harris,NA,UC Davis,https://www.ucdavis.edu/,ucdavis
364,Jared,Ellias,NA,UC Hastings,https://www.uchastings.edu/,uchastings
365,Emily Taylor,Poppe,NA,UC Irvine,https://uci.edu/,uci
366,Leah,Litman,NA,UC Irvine,https://uci.edu/,uci
367,Alison,Mikkor,NA,UC Irvine,https://uci.edu/,uci
368,Sung Eun,Kim,NA,UC Irvine,https://uci.edu/,uci
