,First Name,Last Name,Title,School,School URL,School URL short,New School,New School URL,New School URL short
72,Ryan,Holte,NA,Southern Illinois University,http://siu.edu,siu.edu,University of Akron,https://www.uakron.edu/,uakron.edu
73,Herbert,Hovenkamp,NA,University of Iowa,https://uiowa.edu/,uiowa.edu,University of Pennsylvania,http://upenn.edu,upenn.edu
74,Blake,Hudson,NA,Louisiana State University,http://lsu.edu,lsu.edu,University of Houston,www.uh.edu/,uh.edu
75,Lolita Buckner,Inniss,NA,Cleveland-Marshall College of Law,https://www.law.csuohio.edu/,law.csuohio.edu,Southern Methodist University,http://smu.edu,smu.edu
76,Orin,Kerr,NA,George Washington University,https://www.gwu.edu/,gwu.edu,University of Southern California,http://usc.edu,usc.edu
77,Kurt,Lash,NA,University of Illinois,http://illinois.edu,illinois.edu,University of Richmond,http://richmond.edu,richmond.edu
78,Yoon-Ho Alex,Lee,NA,University of Southern California,http://usc.edu,usc.edu,Northwestern University,http://northwestern.edu,northwestern.edu
79,Dayna,Matthew,NA,"University of Colorado, Boulder",http://colorado.edu,colorado.edu,University of Virginia,http://virginia.edu,virginia.edu
80,Pamela,Metzger,NA,Tulane University,http://tulane.edu,tulane.edu,Southern Methodist University,http://smu.edu,smu.edu
81,Paul,Miller,NA,McGill University,https://www.mcgill.ca/,mcgill.ca,University of Notre Dame,http://nd.edu,nd.edu
82,Nicholas A.,Mirkay,NA,Creighton University,http://creighton.edu,creighton.edu,University of Hawaii,https://wustl.edu/,wustl.edu
83,Samuel,Moyn,NA,Harvard University,http://harvard.edu,harvard.edu,Yale University,http://yale.edu,yale.edu
84,Alexandra,Natapoff,NA,"Loyola Law School, Los Angeles",https://www.lls.edu/,lls.edu,"University of California, Irvine",http://uci.edu,uci.edu
85,Douglas,NeJaime,NA,"University of California, Los Angeles",http://ucla.edu,ucla.edu,Yale University,http://yale.edu,yale.edu
86,Shu-Yi,Oei,NA,Tulane University,http://tulane.edu,tulane.edu,Boston College,http://bc.edu,bc.edu
87,Ruth,Okediji,NA,University of Minnesota,http://umn.edu,umn.edu,Harvard University,http://harvard.edu,harvard.edu
88,David,Orentlicher,NA,"Indiana University, Indianapolis",https://www.iupui.edu/,iupui.edu,"University of Nevada, Las Vegas",http://unlv.edu,unlv.edu
89,Frank,Partnoy,NA,University of San Diego,http://sandiego.edu,sandiego.edu,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu
90,Alice,Ristroph,NA,Seton Hall University,http://shu.edu,shu.edu,Brooklyn Law School,http://northwestern.edu,northwestern.edu
91,Victoria,Sahani,NA,Washington & Lee University,https://www.wlu.edu/,wlu.edu,Arizona State University,http://asu.edu,asu.edu
92,Michael,Simkovic,NA,Seton Hall University,http://shu.edu,shu.edu,University of Southern California,http://usc.edu,usc.edu
93,Brad,Snyder,NA,"University of Wisconsin, Madison",https://www.wisc.edu/,wisc.edu,Georgetown University,http://georgetown.edu,georgetown.edu
94,Kim,Talus,NA,Universities of Helsinki & Eastern Finland,www.uef.fi/en/etusivu,uef.fi/en/etusivu.edu,Tulane University,http://tulane.edu,tulane.edu
95,Franita,Tolson,NA,Florida State University,http://fsu.edu,fsu.edu,University of Southern California,http://usc.edu,usc.edu
96,Rebecca,Tushnet,NA,Georgetown University,http://georgetown.edu,georgetown.edu,Harvard University,http://harvard.edu,harvard.edu
