,Unnamed: 0,First Name,Last Name,Title,School,School URL,School URL short,id
154,154,Daphna,Renan,,Harvard,https://www.harvard.edu/,harvard,6523
155,155,Christopher,Bavitz,,Harvard,https://www.harvard.edu/,harvard,9203
156,156,Crystal,Yang,,Harvard,https://www.harvard.edu/,harvard,3736
157,157,Jonathan,Darrow,,Harvard Medical School,https://hms.harvard.edu/,hms.harvard,676
158,158,Emily,Murphy,,Hastings,https://www.hastings.edu/,hastings,3473
159,159,Manoj,Viswanathan,,Hastings,https://www.hastings.edu/,hastings,6914
160,160,Veena,Dubal,,Hastings,https://www.hastings.edu/,hastings,3963
161,161,Zachary,Price,,Hastings,https://www.hastings.edu/,hastings,9254
162,162,Charles,Colman,,Hawaii,https://www.hawaii.edu/,hawaii,7670
163,163,Adi,Leibovich,,Hebrew,https://new.huji.ac.il/en,new.huji,5639
164,164,Leora Dahan,Katz,,Hebrew University,https://overseas.huji.ac.il/,overseas.huji,739
165,165,Matthew A.,Shapiro,,Hofstra,https://www.hofstra.edu/,hofstra,4503
166,166,Brenner,Fissell,,Hofstra,https://www.hofstra.edu/,hofstra,1179
167,167,Ryan,Whalen,,Hong Kong,https://www.hku.hk/,hku,4953
168,168,Andrew C.,Michaels,,Houston,www.uh.edu/,uh,4053
169,169,James,Nelson,,Houston,www.uh.edu/,uh,5582
170,170,Emily,Berman,,Houston,www.uh.edu/,uh,1582
171,171,Darin,Johnson,,Howard,https://home.howard.edu/,home.howard,5748
172,172,Myrisha,Lewis,,Howard,https://home.howard.edu/,home.howard,8167
173,173,Matthew,Bruckner,,Howard,https://home.howard.edu/,home.howard,1964
174,174,Samuel P.,Newton,,Idaho,https://www.uidaho.edu/,uidaho,5866
175,175,Katherine,Evans,,Idaho,https://www.uidaho.edu/,uidaho,4216
176,176,Katherine,Macfarlane,,Idaho,https://www.uidaho.edu/,uidaho,7483
177,177,David,Pimentel,,Idaho,https://www.uidaho.edu/,uidaho,8915
178,178,Aliza,Cover,,Idaho,https://www.uidaho.edu/,uidaho,584
179,179,Yulanda,Curtis,,Illinois,https://illinois.edu/,illinois,9308
180,180,Michelle,Layser,,Illinois,https://illinois.edu/,illinois,6290
181,181,Ian,Samuel,,Indiana (Bloomington),https://www.indiana.edu/,indiana,6617
182,182,Jessica,Eaglin,,Indiana (Bloomington),https://www.indiana.edu/,indiana,6299
183,183,Todd,Haugh,,Indiana Kelley Sch of Bus,https://kelley.iu.edu/,kelley.iu,7290
184,184,Brian,Owsley,,Indiana Tech,https://www.indianatech.edu/,indianatech,1688
185,185,Gina-Gail S.,Fletcher,,Indiana-Bloomington,https://www.indiana.edu/,indiana,6010
186,186,Pamela,Foohey,,Indiana-Bloomington,https://www.indiana.edu/,indiana,437
187,187,Alison,Guernsey,,Iowa,https://uiowa.edu/,uiowa,8274
188,188,Daria Fisher,Page,,Iowa,https://uiowa.edu/,uiowa,1796
189,189,Anya,Prince,,Iowa,https://uiowa.edu/,uiowa,3058
190,190,Gregory,Shill,,Iowa,https://uiowa.edu/,uiowa,5621
191,191,Sean,Sullivan,,Iowa,https://uiowa.edu/,uiowa,7362
192,192,Cristina Carmody,Tilley,,Iowa,https://uiowa.edu/,uiowa,9387
193,193,Mihailis,Diamantis,,Iowa,https://uiowa.edu/,uiowa,9440
194,194,Bram T.B.,Elias,,Iowa,https://uiowa.edu/,uiowa,7263
195,195,Sarah,Seo,,Iowa,https://uiowa.edu/,uiowa,5854
196,196,Matthew,Turk,,Kelley School (Indiana),https://kelley.iu.edu/,kelley.iu,3289
197,197,Christopher,Bradley,,Kentucky,www.uky.edu/,uky,827
198,198,Albertina,Antognini,,Kentucky,www.uky.edu/,uky,8901
199,199,Andrew K.,Woods,,Kentucky,www.uky.edu/,uky,3586
200,200,John,Acevedo,,LaVerne,https://laverne.edu/,laverne,5364
201,201,Ezra,Goldschlager,,LaVerne,https://laverne.edu/,laverne,5843
202,202,WC,Bunting,,"Legal Stud. Dept, Fox Bus. Sch., Temple",https://www.fox.temple.edu/departments/legal-studies-in-business/,fox.temple,7240
203,203,Paul,MacMahon,,London School of Economics,www.lse.ac.uk/,lse,2482
204,204,Goldburn P.,Maynard,,Louisville,louisville.edu/,lse,8707
205,205,Justin,Walker,,Louisville,louisville.edu/,lse,6876
206,206,Kate,Mitchell,,Loyola-Chicago,https://www.luc.edu/,luc,3795
207,207,Nicholas,Bryner,,LSU,https://www.lsu.edu/,lsu,1206
208,208,Madalyn,Wasilczuk,,LSU,https://www.lsu.edu/,lsu,7540
209,209,Raff,Donelson,,LSU,https://www.lsu.edu/,lsu,9240
210,210,Lecia,Vicente,,LSU,https://www.lsu.edu/,lsu,1755
211,211,Thea,Johnson,,Maine,https://umaine.edu/,umaine,734
212,212,Richard,Chen,,Maine,https://umaine.edu/,umaine,9412
213,213,Jill,Goldenziel,,Marine Corps University,https://www.usmcu.edu/,usmcu,2325
214,214,Alex,Lemann,,Marquette,https://www.marquette.edu/,marquette,9879
215,215,Jodie,Kirshner,,Marron Institute (NYU),https://marroninstitute.nyu.edu/,marroninstitute.nyu,4994
216,216,William J.,Moon,,Maryland,https://www.umd.edu/,umd,5635
217,217,Dustin,Marlan,,Massachusetts,https://www.massachusetts.edu/,massachusetts,757
218,218,Emily Whelan,Parento,,McGeorge,https://www.mcgeorge.edu/,mcgeorge,6792
219,219,John,Newman,,Memphis,https://www.memphis.edu/,memphis,9612
