,LateralYear,ID,First Name,LastName,Moved From,Moved To,Gender,Gender Label
243,2017,1895,Brad,Snyder,"University of Wisconsin, Madison",Georgetown University,male,1
244,2014,9686,A.,Spencer,Washington & Lee University,University of Virginia,unknown,2
245,2013,6162,Matthew,Spitzer,"University of Texas, Austin",Northwestern University,male,1
246,2013,880,Christopher,Sprigman,University of Virginia,New York University,male,1
247,2014,3417,Paul,Stancil,University of Illinois,Brigham Young University,male,1
248,2013,2088,Jean,Stefancic,Seattle University,University of Alabama,male,1
249,2016,3538,Alex,Stein,Cardozo Law School,Brooklyn Law School,male,1
250,2014,7683,Adam,Steinman,Seton Hall University,University of Alabama,male,1
251,2014,1385,Kristen,Stilt,Northwestern University,Harvard University,female,0
252,2018,1550,Madhavi,Sunder,"University of California, Davis",Georgetown University,female,0
253,2015,956,Alan,Sykes,New York University,Stanford University,male,1
254,2014,1148,Eric,Talley,"University of California, Berkeley",Columbia University,male,1
255,2017,4685,Franita,Tolson,Florida State University,University of Southern California,unknown,2
256,2014,2329,Christopher,Tomlins,"University of California, Irvine","University of California, Berkeley",male,1
257,2014,5946,Gerald,Torres,"University of Texas, Austin",Cornell University,male,1
258,2016,8220,Elizabeth,Trujillo,Suffolk University,Texas A&M University,female,0
259,2014,6165,Deborah,Tuerkheimer,DePaul University,Northwestern University,female,0
260,2017,6593,Rebecca,Tushnet,Georgetown University,Harvard University,female,0
261,2012,6066,Amanda,Tyler,George Washington University,"University of California, Berkeley",female,0
262,2017,9182,Ryan,Vacca,University of Akron,University of New Hampshire,mostly_male,1
263,2012,4704,Katharine,Van Tassel,St. Thomas University (Florida) ,University of Akron,female,0
264,2017,7158,Urska,Velikonja,Emory University,Georgetown University,unknown,2
265,2017,7799,Rose,Villazor,"University of California, Davis",Rutgers University,female,0
266,2015,4898,Steve,Vladeck,American University,"University of Texas, Austin",male,1
267,2016,2848,Gina,Warren,Texas A&M University,University of Houston,female,0
268,2016,3160,Melissa,Wasserman,University of Illinois,"University of Texas, Austin",female,0
269,2017,4806,Nancy,Welsh,Pennsylvania State University Dickinson School of Law (Carlysle),Texas A&M University,female,0
270,2013,5837,Robin,Wilson,Washington & Lee University,University of Illinois,mostly_male,1
271,2018,4023,Andrew,Woods,University of Kentucky,University of Arizona,male,1
272,2018,4015,Kevin,Woodson,Drexel University,University of Richmond,male,1
273,2017,562,Del,Wright,Valparaiso University,"University of Missouri, Kansas City",female,0
274,2012,555,Gideon,Yaffe,University of Southern California,Yale University,male,1
275,2016,1213,Ellen,Yaroshefsky,Cardozo Law School,Hofstra University,female,0
276,2018,9362,Ruqaiijah,Yearby,Case Western Reserve University,Saint Louis University,unknown,2
277,2015,6567,Peter,Yu,Drake University,Texas A&M University,male,1
278,2015,8520,Kathryn,Zeiler,Georgetown University,Boston University,female,0
279,2018,7177,Sandi,Zellmer,"University of Nebraska, Lincoln",University of Montana,male,1
