,First Name,Last Name,School,AALS Name,AALS School,Fuzz List
258,Michele,Goodwin,Cal. Irvine,Michele Goodwin,"University of California, Irvine School of Law",100
259,Richard K.,Gordon,Case Western Res. ,Richard Gordon,Case Western Reserve University School of Law,90
260,Ruth E.,Gordon,Villanova ,Ruth Gordon,Villanova University Charles Widger School of Law,88
261,Darlene C.,Goring,LSU ,Darlene Goring,"Louisiana State University, Paul M. Hebert Law Center",90
262,Neil T,Gotanda,Western state ,Neil Gotanda,Western State College of Law at Westcliff University,92
263,Michael Z.,Green,Texas A&M ,Michael Green,Texas A&M University School of Law,90
264,Sally Terry,Green,Texas Southern ,Sally Green,Texas Southern University Thurgood Marshall School of Law,79
265,Shelby D.,Green,Pace ,Shelby Green,Pace University Elisabeth Haub School of Law,89
266,Jamal,Greene,Columbia ,Jamal Greene,Columbia Law School,100
267,Kevin J.,Greene,Thomas Jefferson ,Kevin Greene,Thomas Jefferson School of Law,89
268,Wendy,Greene,Samford ,Wendy Gordon,Boston University School of Law,75
269,Michael J,Greenlee,Concordia ,Michael Greenlee,Concordia University School of Law,94
270,David,Grenardo,St. Mary's ,David Grenardo,St. Mary's University of San Antonio School of Law,100
271,David,Grewal,Yale ,David Grewal,Yale Law School,100
272,Marsha,Griggs,Washburn ,Marsha Griggs,Washburn University School of Law,100
273,Pratheepan,Gulasekaram,Santa Clara ,Pratheepan Gulasekaram,Santa Clara University School of Law,100
274,Anjum,Gupta,Rutgers ,Anjum Gupta,Rutgers Law School,100
275,Jimmy,Gurule,Notre Dame ,Jimmy Gurule,Notre Dame Law School,100
276,Lakshman D.,Guruswamy,Colorado ,Lakshman Guruswamy,University of Colorado Law School,92
277,Kaaryn S,Gustafson,Cal. Irvine ,Kaaryn Gustafson,"University of California, Irvine School of Law",94
278,Katheleen R.,Guzman,Univ. of Oklahoma ,Katheleen Guzman,University of Oklahoma College of Law,91
279,Phoebe A.,Haddon,Rutgers ,Phoebe Haddon,Rutgers Law School,90
280,Sam,HaJabi,Missouri ,NA,NA,0
281,Vivian E.,Hamilton,William & Mary ,Vivian Hamilton,William & Mary Law School,91
282,Gautam,Hans,Vanderbilt ,Gautam Hans,Vanderbilt University Law School,100
283,Roberta M.,Harding,Kentucky ,Roberta Harding,University of Kentucky College of Law,91
284,Vinay,Harpalani,John Marshall Atlanta,Vinay Harpalani,Atlanta's John Marshall Law School,100
