Unnamed: 0,Person,School,Type,Cited by Cases,Cited by Articles,Accessed (Past 12 Months),Cited by Articles (Past 10 Years),Cited by Articles (Past 1-2 years),ScholarCheck Rank,Average Citations per Article,Average Citations per Document,Self-Citations,ID
,Katherine A. Macfarlane,Idaho,number,0,34,119,33,10,0,3.78,3.4,0,7483
,David Pimentel,Idaho,number,5,131,770,117,18,0,5.7,5.24,0,8915
,Aliza Plener Cover,Idaho,number,0,19,86,19,11,0,10.67,10.67,0,584
,Michelle D. Layser,Illinois,number,0,13,44,13,1,0,3.25,3.25,0,6290
,Ian Samuel,Indiana (Bloomington),number,0,19,58,19,6,0,19,4.75,0,6617
,Jessica Eaglin,Indiana (Bloomington),number,5,62,271,62,25,0,10.33,10.33,8,6299
,Todd Haugh,Indiana Kelley Sch of Bus,number,0,84,296,84,37,0,7,6,0,7290
,Brian Owsley,Indiana Tech,number,6,44,22,8,2,0,8.8,8.8,0,1688
,Gina-Gail S. Fletcher,Indiana-Bloomington,number,0,12,127,12,3,0,4,4,1,6010
,Pamela Foohey,Indiana-Bloomington,number,0,54,192,53,17,0,4.15,3.86,11,437
,Alison K. Guernsey,Iowa,number,1,18,39,17,0,0,9,6,0,8274
,Daria Fisher Page,Iowa,number,0,7,13,7,2,0,2.33,2.33,0,1796
,Anya E.R. Prince,Iowa,number,0,21,134,21,10,0,3,3,0,3058
,Gregory H. Shill,Iowa,number,1,23,108,23,4,0,7.67,5.75,0,5621
,Sean Sullivan,Iowa,number,0,19,147,19,8,0,2.57,3.57,0,7362
,Cristina Carmody Tilley,Iowa,number,0,51,166,36,10,0,8.5,8.5,0,9387
,Mihailis E. Diamantis,Iowa,number,0,22,205,21,16,0,2.44,2.44,0,9440
,Sarah A. Seo,Iowa,number,4,19,69,19,7,0,6.33,2.71,0,5854
,Matthew C. Turk,Kelley School (Indiana),number,0,52,236,52,14,0,3.9,16.25,0,3289
,Christopher G. Bradley,Kentucky,number,0,6,183,6,4,0,2,2,0,827
,Albertina Antognini,Kentucky,number,0,28,203,28,9,0,7,7,0,8901
,Andrew K. Woods,Kentucky,number,1,81,263,81,29,0,10.12,9,0,3586
,Ezra Goldschlager,LaVerne,number,0,0,1,0,0,0,0,0,0,5843
,Paul MacMahon,London School of Economics,number,2,21,101,21,5,0,3.5,2.33,0,2482
